"Player","Minutes","Apps","Starts","Subbed_On","Subbed.off","Goals","Yellows","Second_Yellows","Reds","Club","Season"
"James Hurst",90,1,1,0,0,0,0,0,0,"west-bromwich-albion",2010
"George Thorne",30,1,0,1,0,0,0,0,0,"west-bromwich-albion",2010
"Chris Wood",7,1,0,1,0,0,0,0,0,"west-bromwich-albion",2010
"Dean Kiely",0,0,0,0,0,0,0,0,0,"west-bromwich-albion",2010
"Ryan Allsop",0,0,0,0,0,0,0,0,0,"west-bromwich-albion",2010
"Saido Berahino",0,0,0,0,0,0,0,0,0,"west-bromwich-albion",2010
"Paul Downing",0,0,0,0,0,0,0,0,0,"west-bromwich-albion",2010
"Lateef Elford-Alliyu",0,0,0,0,0,0,0,0,0,"west-bromwich-albion",2010
"Sam Mantom",0,0,0,0,0,0,0,0,0,"west-bromwich-albion",2010
"Romaine Sawyers",0,0,0,0,0,0,0,0,0,"west-bromwich-albion",2010
"Ben Foster",3420,38,38,0,0,0,1,0,0,"watford-fc",2018
"Craig Cathcart",3099,36,35,1,4,3,2,0,0,"watford-fc",2018
"Abdoulaye Doucoure",3062,35,34,1,1,5,7,0,0,"watford-fc",2018
"Etienne Capoue",2947,33,33,0,2,1,14,0,1,"watford-fc",2018
"Roberto Pereyra",2822,33,33,0,10,6,3,0,0,"watford-fc",2018
"Troy Deeney",2547,32,28,4,6,9,4,0,1,"watford-fc",2018
"Will Hughes",2433,32,31,1,19,2,5,0,0,"watford-fc",2018
"Gerard Deulofeu",2080,30,26,4,20,10,3,0,0,"watford-fc",2018
"Isaac Success",1039,30,9,21,6,1,4,0,0,"watford-fc",2018
"Andre Gray",1360,29,13,16,8,7,2,0,0,"watford-fc",2018
"Kiko Femenia",2046,29,22,7,3,1,1,0,0,"watford-fc",2018
"Jose Cholevas",2394,28,27,1,1,3,12,0,1,"watford-fc",2018
"Adrian Mariappa",1924,26,20,6,0,0,3,0,0,"watford-fc",2018
"Christian Kabasele",1587,21,19,2,2,0,3,1,0,"watford-fc",2018
"Daryl Janmaat",1522,18,17,1,2,0,3,0,0,"watford-fc",2018
"Ken Sema",756,17,9,8,9,1,1,0,0,"watford-fc",2018
"Adam Masina",1004,14,11,3,2,0,5,0,0,"watford-fc",2018
"Tom Cleverley",471,13,4,9,1,1,2,0,0,"watford-fc",2018
"Nathaniel Chalobah",267,9,3,6,2,0,2,0,0,"watford-fc",2018
"Domingos Quina",334,8,3,5,2,1,0,0,0,"watford-fc",2018
"Miguel Britos",185,3,2,1,1,0,0,0,0,"watford-fc",2018
"Marc Navarro",85,2,1,1,1,0,0,0,0,"watford-fc",2018
"Stefano Okaka",22,2,0,2,0,0,1,0,0,"watford-fc",2018
"Ben Wilmot",26,2,0,2,0,0,0,0,0,"watford-fc",2018
"Sebastian Prodl",13,1,0,1,1,0,0,0,0,"watford-fc",2018
"Gomes",0,0,0,0,0,0,0,0,0,"watford-fc",2018
"Adalberto Penaranda",0,0,0,0,0,0,0,0,0,"watford-fc",2018
"Pontus Dahlberg",0,0,0,0,0,0,0,0,0,"watford-fc",2018
"Ben Foster",3420,38,38,0,0,0,1,0,0,"watford-fc",2019
"Abdoulaye Doucoure",3167,37,36,1,11,4,8,0,0,"watford-fc",2019
"Etienne Capoue",2632,30,30,0,5,0,8,0,0,"watford-fc",2019
"Will Hughes",2263,30,27,3,14,1,9,0,0,"watford-fc",2019
"Craig Cathcart",2490,29,28,1,2,0,7,0,0,"watford-fc",2019
"Craig Dawson",2358,29,26,3,1,2,6,0,0,"watford-fc",2019
"Gerard Deulofeu",2107,28,25,3,14,4,4,0,0,"watford-fc",2019
"Kiko Femenia",2240,28,26,2,6,0,5,0,0,"watford-fc",2019
"Roberto Pereyra",1653,28,17,11,12,3,4,0,0,"watford-fc",2019
"Ismaila Sarr",2029,28,22,6,8,5,1,0,0,"watford-fc",2019
"Troy Deeney",2234,27,26,1,10,10,3,0,0,"watford-fc",2019
"Christian Kabasele",2253,27,26,1,1,0,1,1,1,"watford-fc",2019
"Adam Masina",1820,26,20,6,4,1,3,0,0,"watford-fc",2019
"Andre Gray",746,23,7,16,5,2,1,0,0,"watford-fc",2019
"Nathaniel Chalobah",926,22,10,12,7,0,1,0,0,"watford-fc",2019
"Adrian Mariappa",1511,20,15,5,0,0,4,1,0,"watford-fc",2019
"Tom Cleverley",967,18,11,7,3,1,2,0,0,"watford-fc",2019
"Danny Welbeck",815,18,8,10,4,2,0,0,0,"watford-fc",2019
"Jose Cholevas",1024,14,11,3,2,0,5,0,0,"watford-fc",2019
"Daryl Janmaat",608,8,7,1,2,0,1,0,0,"watford-fc",2019
"Ignacio Pussetto",67,7,0,7,0,0,1,0,0,"watford-fc",2019
"Isaac Success",65,5,0,5,0,0,1,0,0,"watford-fc",2019
"Domingos Quina",18,4,0,4,0,0,0,0,0,"watford-fc",2019
"Dimitri Foulquier",58,3,1,2,1,0,0,0,0,"watford-fc",2019
"Joao Pedro",22,3,0,3,0,0,0,0,0,"watford-fc",2019
"Sebastian Prodl",57,1,1,0,1,0,0,0,0,"watford-fc",2019
"Tom Dele-Bashiru",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Gomes",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Adalberto Penaranda",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Ken Sema",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Daniel Bachmann",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Mason Barrett",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Pontus Dahlberg",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Sam Dalby",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Cucho Hernandez",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Joseph Hungbo",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Marc Navarro",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Jerome Sinclair",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Bayli Spencer-Adams",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Filip Stuparevic",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Ben Wilmot",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Henry Wise",0,0,0,0,0,0,0,0,0,"watford-fc",2019
"Richarlison",2827,38,32,6,10,5,4,0,0,"watford-fc",2017
"Abdoulaye Doucoure",3325,37,37,0,1,7,10,0,0,"watford-fc",2017
"Roberto Pereyra",1621,32,18,14,12,5,3,0,0,"watford-fc",2017
"Andre Gray",1496,31,16,15,12,5,1,0,0,"watford-fc",2017
"Troy Deeney",1841,29,20,9,6,5,1,0,1,"watford-fc",2017
"Andre Carrillo",1536,28,16,12,8,1,2,0,0,"watford-fc",2017
"Jose Cholevas",2381,28,26,2,2,0,7,0,0,"watford-fc",2017
"Christian Kabasele",2332,28,27,1,3,2,5,0,0,"watford-fc",2017
"Adrian Mariappa",2207,28,24,4,3,0,4,0,0,"watford-fc",2017
"Gomes",2129,24,24,0,1,0,0,0,0,"watford-fc",2017
"Etienne Capoue",1542,23,18,5,5,1,3,0,0,"watford-fc",2017
"Tom Cleverley",1906,23,22,1,4,1,1,1,0,"watford-fc",2017
"Daryl Janmaat",1822,23,21,2,4,3,3,0,0,"watford-fc",2017
"Kiko Femenia",1715,23,19,4,6,1,2,0,0,"watford-fc",2017
"Sebastian Prodl",1568,21,17,4,2,0,5,0,0,"watford-fc",2017
"Will Hughes",993,15,11,4,9,2,0,0,0,"watford-fc",2017
"Orestis Karnezis",1291,15,14,1,0,0,0,0,0,"watford-fc",2017
"Stefano Okaka",445,15,3,12,3,1,2,0,0,"watford-fc",2017
"Miguel Britos",798,12,10,2,2,1,3,0,1,"watford-fc",2017
"Marvin Zeegelaar",995,12,12,0,1,0,4,0,1,"watford-fc",2017
"Ben Watson",459,8,6,2,4,0,1,0,0,"watford-fc",2017
"Craig Cathcart",495,7,5,2,1,0,1,0,0,"watford-fc",2017
"Gerard Deulofeu",438,7,5,2,5,1,0,0,0,"watford-fc",2017
"Nathaniel Chalobah",447,6,5,1,2,0,1,0,0,"watford-fc",2017
"Molla Wague",440,6,5,1,2,1,0,0,0,"watford-fc",2017
"Jerome Sinclair",29,4,0,4,0,0,0,0,0,"watford-fc",2017
"Nordin Amrabat",200,3,3,0,2,0,0,0,0,"watford-fc",2017
"Younes Kaboul",152,2,2,0,1,0,0,0,0,"watford-fc",2017
"Dodi Lukebakio",15,1,0,1,0,0,0,0,0,"watford-fc",2017
"Daniel Bachmann",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Michael Folivi",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Joy Mukena",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Didier Ndong",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Costel Pantilimon",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Carl Stewart",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Isaac Success",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Tommie Hoban",0,0,0,0,0,0,0,0,0,"watford-fc",2017
"Gomes",3339,38,38,0,2,0,1,0,0,"watford-fc",2016
"Etienne Capoue",3212,37,37,0,10,7,5,0,0,"watford-fc",2016
"Troy Deeney",2941,37,31,6,3,10,7,0,0,"watford-fc",2016
"Jose Cholevas",2909,33,33,0,5,2,14,0,0,"watford-fc",2016
"Sebastian Prodl",2771,33,32,1,4,1,10,1,0,"watford-fc",2016
"Nordin Amrabat",2101,29,25,4,14,0,4,0,0,"watford-fc",2016
"Valon Behrami",2038,27,26,1,9,0,7,0,0,"watford-fc",2016
"Miguel Britos",2285,27,27,0,3,1,6,2,0,"watford-fc",2016
"Daryl Janmaat",1616,27,18,9,6,2,2,0,0,"watford-fc",2016
"Younes Kaboul",1825,22,22,0,5,2,2,0,0,"watford-fc",2016
"Juan Zuniga",813,21,6,15,5,1,1,0,0,"watford-fc",2016
"Abdoulaye Doucoure",1360,20,14,6,3,1,4,0,0,"watford-fc",2016
"Stefano Okaka",954,19,10,9,5,4,5,0,0,"watford-fc",2016
"Isaac Success",504,19,2,17,1,1,2,0,0,"watford-fc",2016
"Odion Ighalo",1291,18,14,4,4,1,1,0,0,"watford-fc",2016
"Tom Cleverley",1442,17,16,1,2,0,3,0,0,"watford-fc",2016
"Christian Kabasele",767,16,7,9,4,2,1,0,0,"watford-fc",2016
"M Baye Niang",1254,16,15,1,9,2,2,0,0,"watford-fc",2016
"Craig Cathcart",1162,15,13,2,2,0,3,0,0,"watford-fc",2016
"Roberto Pereyra",1040,13,12,1,3,2,2,0,1,"watford-fc",2016
"Adlene Guedioura",723,12,9,3,5,0,2,0,0,"watford-fc",2016
"Adrian Mariappa",561,7,6,1,0,0,0,0,0,"watford-fc",2016
"Jerome Sinclair",114,5,1,4,1,0,0,0,0,"watford-fc",2016
"Ben Watson",51,4,0,4,0,0,0,0,1,"watford-fc",2016
"Mauro Zarate",205,3,3,0,3,0,0,0,0,"watford-fc",2016
"Brandon Mason",112,2,1,1,0,0,0,0,0,"watford-fc",2016
"Costel Pantilimon",81,2,0,2,0,0,0,0,0,"watford-fc",2016
"Dion Pereira",23,2,0,2,0,0,0,0,0,"watford-fc",2016
"Ikechi Anya",9,1,0,1,0,0,0,0,0,"watford-fc",2016
"Andrew Eleftheriou",51,1,0,1,0,0,0,0,0,"watford-fc",2016
"Michael Folivi",9,1,0,1,0,0,0,0,0,"watford-fc",2016
"Kenedy",15,1,0,1,0,0,0,0,0,"watford-fc",2016
"Matej Vydra",2,1,0,1,0,0,0,0,0,"watford-fc",2016
"Giedrius Arlauskis",0,0,0,0,0,0,0,0,0,"watford-fc",2016
"Rene Gilmartin",0,0,0,0,0,0,0,0,0,"watford-fc",2016
"Tommie Hoban",0,0,0,0,0,0,0,0,0,"watford-fc",2016
"Allan Nyom",0,0,0,0,0,0,0,0,0,"watford-fc",2016
"Charlie Rowan",0,0,0,0,0,0,0,0,0,"watford-fc",2016
"Carl Stewart",0,0,0,0,0,0,0,0,0,"watford-fc",2016
"Brice Dja Djedje",0,0,0,0,0,0,0,0,0,"watford-fc",2016
"Troy Deeney",3291,38,36,2,3,13,6,0,0,"watford-fc",2015
"Gomes",3397,38,38,0,1,0,4,0,0,"watford-fc",2015
"Odion Ighalo",3152,37,36,1,8,16,4,0,0,"watford-fc",2015
"Craig Cathcart",3034,35,34,1,1,1,3,0,0,"watford-fc",2015
"Ben Watson",2815,35,31,4,3,1,5,0,0,"watford-fc",2015
"Etienne Capoue",2822,33,33,0,8,0,7,0,0,"watford-fc",2015
"Almen Abdi",1986,32,25,7,20,2,4,0,0,"watford-fc",2015
"Allan Nyom",2475,32,29,3,9,0,8,0,0,"watford-fc",2015
"Ikechi Anya",1680,28,17,11,5,0,0,0,0,"watford-fc",2015
"Jurado",2026,27,27,0,20,0,3,0,0,"watford-fc",2015
"Nathan Ake",1874,24,20,4,1,1,4,0,1,"watford-fc",2015
"Miguel Britos",2076,24,24,0,3,0,7,0,0,"watford-fc",2015
"Valon Behrami",1281,21,14,7,6,0,3,0,1,"watford-fc",2015
"Sebastian Prodl",1776,21,19,2,0,2,5,0,0,"watford-fc",2015
"Adlene Guedioura",421,18,3,15,2,0,2,0,0,"watford-fc",2015
"Juan Paredes",766,17,7,10,4,0,1,0,0,"watford-fc",2015
"Mario Suarez",745,15,8,7,3,0,2,0,0,"watford-fc",2015
"Nordin Amrabat",502,12,4,8,2,0,2,1,0,"watford-fc",2015
"Jose Cholevas",946,11,11,0,1,1,2,0,0,"watford-fc",2015
"Steven Berghuis",222,9,0,9,0,0,2,0,0,"watford-fc",2015
"Victor Ibarbo",64,4,0,4,0,0,0,0,0,"watford-fc",2015
"Alessandro Diamanti",65,3,0,3,0,0,0,0,0,"watford-fc",2015
"Miguel Layun",132,3,2,1,2,1,0,0,0,"watford-fc",2015
"Obbi Oulare",5,2,0,2,0,0,0,0,0,"watford-fc",2015
"Giedrius Arlauskis",23,1,0,1,0,0,0,0,0,"watford-fc",2015
"Gabriele Angella",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Lloyd Dyer",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Fernando Forestieri",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Rene Gilmartin",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Tommie Hoban",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Costel Pantilimon",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Daniel Pudil",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Matej Vydra",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Essaid Belkalem",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"George Byers",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Josh Doherty",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Joel Ekstrand",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Alex Jakubiak",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Jorell Johnson",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Dennon Lewis",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Mahlondo Martin",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Bernard Mensah",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Sean Murray",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Luke O Nien",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Luke Simpson",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Alfie Young",0,0,0,0,0,0,0,0,0,"watford-fc",2015
"Hugo Lloris",3420,38,38,0,0,0,2,0,0,"tottenham-hotspur",2021
"Harry Kane",3232,37,36,1,1,17,5,0,0,"tottenham-hotspur",2021
"Pierre-Emile Hojbjerg",3198,36,36,0,3,2,3,0,0,"tottenham-hotspur",2021
"Eric Dier",3072,35,35,0,1,0,1,0,0,"tottenham-hotspur",2021
"Heung-min Son",3020,35,35,0,15,23,2,0,0,"tottenham-hotspur",2021
"Lucas Moura",1772,34,19,15,13,2,4,0,0,"tottenham-hotspur",2021
"Emerson Royal",2290,31,26,5,9,1,5,0,0,"tottenham-hotspur",2021
"Ben Davies",2539,29,28,1,2,1,6,0,0,"tottenham-hotspur",2021
"Steven Bergwijn",549,25,4,21,3,3,1,0,0,"tottenham-hotspur",2021
"Reguilon",1923,25,22,3,9,2,4,0,0,"tottenham-hotspur",2021
"Davinson Sanchez",1626,23,17,6,0,2,4,0,0,"tottenham-hotspur",2021
"Cristian Romero",1846,22,21,1,2,1,8,0,0,"tottenham-hotspur",2021
"Harry Winks",907,19,9,10,3,0,2,0,0,"tottenham-hotspur",2021
"Dejan Kulusevski",1265,18,14,4,10,5,3,0,0,"tottenham-hotspur",2021
"Oliver Skipp",1349,18,14,4,2,0,6,0,0,"tottenham-hotspur",2021
"Rodrigo Bentancur",1366,17,16,1,6,0,5,0,0,"tottenham-hotspur",2021
"Matt Doherty",874,15,9,6,3,2,0,0,0,"tottenham-hotspur",2021
"Ryan Sessegnon",1053,15,13,2,9,0,2,0,0,"tottenham-hotspur",2021
"Japhet Tanganga",740,11,10,1,5,0,2,1,0,"tottenham-hotspur",2021
"Dele Alli",658,10,8,2,3,1,1,0,0,"tottenham-hotspur",2021
"Bryan Gil",86,9,0,9,0,0,0,0,0,"tottenham-hotspur",2021
"Giovani Lo Celso",233,9,2,7,2,0,0,0,0,"tottenham-hotspur",2021
"Tanguy Ndombele",486,9,6,3,5,1,1,0,0,"tottenham-hotspur",2021
"Joe Rodon",87,3,0,3,0,0,0,0,0,"tottenham-hotspur",2021
"Dane Scarlett",3,1,0,1,0,0,0,0,0,"tottenham-hotspur",2021
"Brandon Austin",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Jamie Bowden",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Matthew Craig",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Alfie Devine",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Pierluigi Gollini",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Marcel Lavinier",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Dilan Markanday",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Tobi Omole",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Moussa Sissoko",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Harvey White",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Kallum Cesay",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Malachi Fagan-Walcott",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Brooklyn Lyons-Foster",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Romaine Mundle",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Maksim Paskotsi",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2021
"Harry Kane",3406,38,38,0,3,30,6,0,0,"tottenham-hotspur",2022
"Heung-min Son",2900,36,33,3,14,10,2,0,0,"tottenham-hotspur",2022
"Pierre-Emile Hojbjerg",3133,35,35,0,2,4,5,0,0,"tottenham-hotspur",2022
"Ivan Perisic",2109,34,23,11,13,1,6,0,0,"tottenham-hotspur",2022
"Eric Dier",2816,33,31,2,1,2,3,0,0,"tottenham-hotspur",2022
"Ben Davies",2289,31,26,5,6,2,4,0,0,"tottenham-hotspur",2022
"Dejan Kulusevski",2076,30,23,7,19,2,2,0,0,"tottenham-hotspur",2022
"Richarlison",1006,27,12,15,11,1,3,0,0,"tottenham-hotspur",2022
"Cristian Romero",2365,27,26,1,1,0,9,1,0,"tottenham-hotspur",2022
"Emerson Royal",1737,26,20,6,7,2,2,0,1,"tottenham-hotspur",2022
"Clement Lenglet",2026,26,24,2,10,0,4,0,0,"tottenham-hotspur",2022
"Hugo Lloris",2206,25,25,0,1,0,0,0,0,"tottenham-hotspur",2022
"Yves Bissouma",1004,23,10,13,6,0,6,0,0,"tottenham-hotspur",2022
"Oliver Skipp",1495,23,18,5,10,1,7,0,0,"tottenham-hotspur",2022
"Rodrigo Bentancur",1504,18,17,1,7,5,8,0,0,"tottenham-hotspur",2022
"Davinson Sanchez",853,18,8,10,4,0,1,0,0,"tottenham-hotspur",2022
"Ryan Sessegnon",811,17,9,8,6,2,4,0,0,"tottenham-hotspur",2022
"Lucas Moura",145,15,0,15,0,1,0,0,1,"tottenham-hotspur",2022
"Pedro Porro",1134,15,13,2,7,3,0,0,0,"tottenham-hotspur",2022
"Fraser Forster",1215,14,13,1,0,0,1,0,0,"tottenham-hotspur",2022
"Matt Doherty",665,12,7,5,5,1,0,0,0,"tottenham-hotspur",2022
"Pape Sarr",213,11,2,9,2,0,1,0,0,"tottenham-hotspur",2022
"Arnaut Danjuma",163,9,1,8,1,1,0,0,0,"tottenham-hotspur",2022
"Bryan Gil",148,4,2,2,2,0,1,0,0,"tottenham-hotspur",2022
"Djed Spence",5,4,0,4,0,0,0,0,0,"tottenham-hotspur",2022
"Japhet Tanganga",147,4,2,2,2,0,0,0,0,"tottenham-hotspur",2022
"George Abbott",1,1,0,1,0,0,0,0,0,"tottenham-hotspur",2022
"Matthew Craig",13,1,0,1,0,0,0,0,0,"tottenham-hotspur",2022
"Harvey White",4,1,0,1,0,0,0,0,0,"tottenham-hotspur",2022
"Brandon Austin",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2022
"Alfie Devine",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2022
"Romaine Mundle",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2022
"Yago Santiago",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2022
"Alfie Whiteman",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2022
"Pierre-Emile Hojbjerg",3420,38,38,0,0,2,9,0,0,"tottenham-hotspur",2020
"Hugo Lloris",3420,38,38,0,0,0,0,0,0,"tottenham-hotspur",2020
"Heung-min Son",3122,37,36,1,13,17,0,0,0,"tottenham-hotspur",2020
"Harry Kane",3086,35,35,0,5,23,1,0,0,"tottenham-hotspur",2020
"Tanguy Ndombele",2108,33,28,5,22,3,3,0,0,"tottenham-hotspur",2020
"Lucas Moura",1404,30,14,16,7,3,1,0,0,"tottenham-hotspur",2020
"Eric Dier",2520,28,28,0,0,0,3,0,0,"tottenham-hotspur",2020
"Reguilon",2248,27,26,1,6,0,5,0,0,"tottenham-hotspur",2020
"Toby Alderweireld",2241,25,25,0,1,1,2,0,0,"tottenham-hotspur",2020
"Moussa Sissoko",1578,25,15,10,1,0,3,0,0,"tottenham-hotspur",2020
"Erik Lamela",706,23,5,18,5,1,4,1,0,"tottenham-hotspur",2020
"Steven Bergwijn",1211,21,13,8,11,1,3,0,0,"tottenham-hotspur",2020
"Gareth Bale",922,20,10,10,10,11,1,0,0,"tottenham-hotspur",2020
"Ben Davies",1340,20,14,6,0,0,1,0,0,"tottenham-hotspur",2020
"Serge Aurier",1609,19,19,0,4,2,0,0,0,"tottenham-hotspur",2020
"Giovani Lo Celso",950,18,11,7,11,1,5,0,0,"tottenham-hotspur",2020
"Davinson Sanchez",1487,18,17,1,1,0,1,0,0,"tottenham-hotspur",2020
"Matt Doherty",1239,17,13,4,1,0,2,1,0,"tottenham-hotspur",2020
"Dele Alli",619,15,7,8,6,0,0,0,0,"tottenham-hotspur",2020
"Harry Winks",861,15,9,6,5,0,5,0,0,"tottenham-hotspur",2020
"Joe Rodon",732,12,8,4,0,0,0,0,0,"tottenham-hotspur",2020
"Carlos Vinicius",305,9,3,6,1,1,2,0,0,"tottenham-hotspur",2020
"Japhet Tanganga",489,6,6,0,2,0,2,0,0,"tottenham-hotspur",2020
"Dane Scarlett",1,1,0,1,0,0,0,0,0,"tottenham-hotspur",2020
"Alfie Devine",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Gedson Fernandes",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Joe Hart",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Nile John",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Dennis Cirkin",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Marcel Lavinier",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Dilan Markanday",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Danny Rose",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Alfie Whiteman",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2020
"Lucas Moura",2247,35,25,10,14,4,3,0,0,"tottenham-hotspur",2019
"Toby Alderweireld",2958,33,33,0,1,2,7,0,0,"tottenham-hotspur",2019
"Serge Aurier",2705,33,31,2,7,1,2,1,0,"tottenham-hotspur",2019
"Harry Winks",2228,31,26,5,10,0,9,0,0,"tottenham-hotspur",2019
"Heung-min Son",2486,30,28,2,10,11,0,0,2,"tottenham-hotspur",2019
"Harry Kane",2589,29,29,0,3,18,4,0,0,"tottenham-hotspur",2019
"Davinson Sanchez",2432,29,27,2,1,0,6,0,0,"tottenham-hotspur",2019
"Moussa Sissoko",2456,29,28,1,5,2,8,0,0,"tottenham-hotspur",2019
"Giovani Lo Celso",1487,28,15,13,8,0,6,0,0,"tottenham-hotspur",2019
"Dele Alli",1850,25,21,4,9,8,2,0,0,"tottenham-hotspur",2019
"Erik Lamela",1211,25,12,13,8,2,3,0,0,"tottenham-hotspur",2019
"Jan Vertonghen",1647,23,19,4,3,1,2,0,0,"tottenham-hotspur",2019
"Hugo Lloris",1808,21,21,0,1,0,0,0,0,"tottenham-hotspur",2019
"Tanguy Ndombele",1010,21,12,9,10,2,3,0,0,"tottenham-hotspur",2019
"Christian Eriksen",1090,20,10,10,4,2,5,0,0,"tottenham-hotspur",2019
"Eric Dier",1342,19,15,4,2,0,5,0,0,"tottenham-hotspur",2019
"Ben Davies",1431,18,16,2,3,0,6,0,0,"tottenham-hotspur",2019
"Paulo Gazzaniga",1612,18,17,1,0,0,1,0,0,"tottenham-hotspur",2019
"Steven Bergwijn",703,14,8,6,6,3,2,0,0,"tottenham-hotspur",2019
"Danny Rose",894,12,10,2,3,0,5,0,0,"tottenham-hotspur",2019
"Gedson Fernandes",62,7,0,7,0,0,0,0,0,"tottenham-hotspur",2019
"Oliver Skipp",75,7,1,6,1,0,0,0,0,"tottenham-hotspur",2019
"Ryan Sessegnon",342,6,4,2,1,0,0,0,0,"tottenham-hotspur",2019
"Japhet Tanganga",526,6,6,0,1,0,1,0,0,"tottenham-hotspur",2019
"Juan Foyth",67,4,1,3,1,0,1,0,0,"tottenham-hotspur",2019
"Kyle Walker-Peters",242,3,3,0,1,0,0,0,0,"tottenham-hotspur",2019
"Troy Parrott",6,2,0,2,0,0,0,0,0,"tottenham-hotspur",2019
"Victor Wanyama",24,2,0,2,0,0,1,0,0,"tottenham-hotspur",2019
"Georges-Kevin N Koudou",2,1,0,1,0,0,0,0,0,"tottenham-hotspur",2019
"Brandon Austin",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2019
"Dennis Cirkin",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2019
"Michel Vorm",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2019
"Harvey White",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2019
"Alfie Whiteman",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2019
"Malachi Fagan-Walcott",0,0,0,0,0,0,0,0,0,"tottenham-hotspur",2019
"Christian Eriksen",2771,35,30,5,3,8,3,0,0,"tottenham-hotspur",2018
"Toby Alderweireld",2924,34,33,1,3,0,3,0,0,"tottenham-hotspur",2018
